"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-15T18:07:18.508Z[Etc/UTC]","0.0","1.69"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-15T18:07:20.211Z[Etc/UTC]","0.0","0.66"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:20.879Z[Etc/UTC]","0.0","0.51"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:21.4Z[Etc/UTC]","0.0","0.73"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-15T18:07:22.14Z[Etc/UTC]","0.0","1.09"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-06-15T18:07:23.231Z[Etc/UTC]","0.0","0.39"
"Vanilla Playwright Test","New Todo should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:23.629Z[Etc/UTC]","0.0","0.38"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:24.015Z[Etc/UTC]","0.0","0.44"
"Vanilla Playwright Test","New Todo should show #main and #footer when items added","SUCCESS","2023-06-15T18:07:24.461Z[Etc/UTC]","0.0","0.37"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-15T18:07:25.513Z[Etc/UTC]","0.0","4.99"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-15T18:07:30.514Z[Etc/UTC]","0.0","0.93"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:31.46Z[Etc/UTC]","0.0","0.74"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:32.211Z[Etc/UTC]","0.0","1.0"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-15T18:07:33.216Z[Etc/UTC]","0.0","1.25"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-06-15T18:07:34.482Z[Etc/UTC]","0.0","0.72"
"Vanilla Playwright Test","New Todo should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:35.207Z[Etc/UTC]","0.0","0.76"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:35.969Z[Etc/UTC]","0.0","0.81"
"Vanilla Playwright Test","New Todo should show #main and #footer when items added","SUCCESS","2023-06-15T18:07:36.786Z[Etc/UTC]","0.0","0.62"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-06-15T18:07:38.504Z[Etc/UTC]","0.0","11.31"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-06-15T18:07:49.831Z[Etc/UTC]","0.0","1.18"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:51.023Z[Etc/UTC]","0.0","0.97"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:52.002Z[Etc/UTC]","0.0","1.2"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-06-15T18:07:53.215Z[Etc/UTC]","0.0","1.48"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-06-15T18:07:54.703Z[Etc/UTC]","0.0","0.85"
"Vanilla Playwright Test","New Todo should clear text input field when an item is added","SUCCESS","2023-06-15T18:07:55.556Z[Etc/UTC]","0.0","0.84"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-06-15T18:07:56.403Z[Etc/UTC]","0.0","0.99"
"Vanilla Playwright Test","New Todo should show #main and #footer when items added","SUCCESS","2023-06-15T18:07:57.392Z[Etc/UTC]","0.0","0.84"
