"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-11T19:19:58.76Z[Etc/UTC]","0.0","1.68"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-11T19:20:02.438Z[Etc/UTC]","0.0","1.01"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-11T19:20:06.411Z[Etc/UTC]","0.0","3.11"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-08-11T19:20:11.235Z[Etc/UTC]","0.0","1.02"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-11T19:20:12.274Z[Etc/UTC]","0.0","1.32"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-08-11T19:20:14.602Z[Etc/UTC]","0.0","2.24"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-08-11T19:20:20.172Z[Etc/UTC]","0.0","5.32"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-08-11T19:20:25.503Z[Etc/UTC]","0.0","1.26"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-08-11T19:20:26.786Z[Etc/UTC]","0.0","1.09"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-08-11T19:20:27.911Z[Etc/UTC]","0.0","1.26"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-08-11T19:20:29.2Z[Etc/UTC]","0.0","1.57"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-08-11T19:20:31.177Z[Etc/UTC]","0.0","1.68"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-08-11T19:20:33.746Z[Etc/UTC]","0.0","1.06"
