"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-02-14T02:14:27.956Z[Etc/UTC]","0.0","1.82"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-02-14T02:14:35.927Z[Etc/UTC]","0.0","3.93"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-02-14T02:14:39.875Z[Etc/UTC]","0.0","1.17"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-02-14T02:14:42.014Z[Etc/UTC]","0.0","1.28"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-02-14T02:14:43.304Z[Etc/UTC]","0.0","1.04"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-02-14T02:14:49.648Z[Etc/UTC]","0.0","4.7"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-02-14T02:14:54.368Z[Etc/UTC]","0.0","1.49"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-02-14T02:14:55.871Z[Etc/UTC]","0.0","1.27"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-02-14T02:14:57.155Z[Etc/UTC]","0.0","1.61"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-02-14T02:14:58.778Z[Etc/UTC]","0.0","1.51"
"Vanilla Playwright Test","New Todo should allow me to add todo items","SUCCESS","2023-02-14T02:15:00.302Z[Etc/UTC]","0.0","1.11"
"Vanilla Playwright Test","New Todo should clear text input field when an item is added","SUCCESS","2023-02-14T02:15:01.414Z[Etc/UTC]","0.0","1.09"
"Vanilla Playwright Test","New Todo should reflect the number of items left in the counter","SUCCESS","2023-02-14T02:15:02.512Z[Etc/UTC]","0.0","1.17"
"Vanilla Playwright Test","New Todo should show #main and #footer when items added","SUCCESS","2023-02-14T02:15:03.68Z[Etc/UTC]","0.0","1.12"
