"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:18:20.92Z[Etc/UTC]","0.0","1.92"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-12-19T22:18:22.857Z[Etc/UTC]","0.0","0.62"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-12-19T22:18:23.481Z[Etc/UTC]","0.0","0.49"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-12-19T22:18:23.977Z[Etc/UTC]","0.0","0.66"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-12-19T22:18:24.639Z[Etc/UTC]","0.0","0.5"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:18:27.532Z[Etc/UTC]","0.0","4.29"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-12-19T22:18:31.839Z[Etc/UTC]","0.0","0.91"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-12-19T22:18:32.751Z[Etc/UTC]","0.0","0.71"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-12-19T22:18:33.463Z[Etc/UTC]","0.0","0.95"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-12-19T22:18:34.417Z[Etc/UTC]","0.0","0.77"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2022-12-19T22:18:38.908Z[Etc/UTC]","0.0","11.81"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2022-12-19T22:18:50.732Z[Etc/UTC]","0.0","1.11"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2022-12-19T22:18:51.851Z[Etc/UTC]","0.0","0.89"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2022-12-19T22:18:52.756Z[Etc/UTC]","0.0","1.12"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2022-12-19T22:18:53.879Z[Etc/UTC]","0.0","0.91"
