"Story","Title","Result","Date","Stability","Duration (s)"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-04T13:34:51.478Z[Etc/UTC]","0.0","0.99"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-04T13:34:52.471Z[Etc/UTC]","0.0","0.65"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-04T13:34:53.127Z[Etc/UTC]","0.0","1.21"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-04T13:34:54.374Z[Etc/UTC]","0.0","0.74"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-04T13:35:02.199Z[Etc/UTC]","0.0","1.31"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-04T13:35:03.519Z[Etc/UTC]","0.0","1.09"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-04T13:35:04.621Z[Etc/UTC]","0.0","1.53"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-04T13:35:06.16Z[Etc/UTC]","0.0","1.1"
"Recording items","Todo List App should allow me to add todo items","SUCCESS","2023-04-04T13:35:18.212Z[Etc/UTC]","0.0","1.79"
"Recording items","Todo List App should clear text input field when an item is added","SUCCESS","2023-04-04T13:35:20.014Z[Etc/UTC]","0.0","1.49"
"Recording items","Todo List App should reflect the number of items left in the counter","SUCCESS","2023-04-04T13:35:21.509Z[Etc/UTC]","0.0","2.0"
"Recording items","Todo List App should show #main and #footer sections only when list contains items","SUCCESS","2023-04-04T13:35:23.518Z[Etc/UTC]","0.0","1.46"
